methodology_id,section,factor,formula_id,metric_name,rule_type,score,score_label,min_value,max_value,min_inclusive,max_inclusive,direction,value_scale,secondary_formula_id,secondary_min_value,secondary_max_value,secondary_min_inclusive,secondary_max_inclusive,source_file,source_location,confidence,notes
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,1,,1.1,,False,,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,2,,0.95,1.1,True,True,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,3,,0.85,0.95,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,4,,0.75,0.85,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,5,,0.65,0.75,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,6,,,0.65,,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,personal_income_ratio,County nominal PCPI as % of U.S. nominal PCPI,direct_numeric,1,,1.0,,False,,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,personal_income_ratio,County nominal PCPI as % of U.S. nominal PCPI,direct_numeric,2,,0.9,1.0,True,True,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,personal_income_ratio,County nominal PCPI as % of U.S. nominal PCPI,direct_numeric,3,,0.8,0.9,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,personal_income_ratio,County nominal PCPI as % of U.S. nominal PCPI,direct_numeric,4,,0.75,0.8,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,personal_income_ratio,County nominal PCPI as % of U.S. nominal PCPI,direct_numeric,5,,0.7,0.75,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,personal_income_ratio,County nominal PCPI as % of U.S. nominal PCPI,direct_numeric,6,,,0.7,,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Financial Performance,gov_operating_margin_3yr_avg,Three-year average operating result,direct_numeric,1,,0.03,,False,,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 7 Financial performance: Initial assessment,high,"Scores 5 and 6 are reached through qualitative adjustments, not initial numeric thresholds."
sp_local_gov_k12,Individual Credit Profile Assessment,Financial Performance,gov_operating_margin_3yr_avg,Three-year average operating result,direct_numeric,2,,0.0,0.03,True,True,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 7 Financial performance: Initial assessment,high,"Scores 5 and 6 are reached through qualitative adjustments, not initial numeric thresholds."
sp_local_gov_k12,Individual Credit Profile Assessment,Financial Performance,gov_operating_margin_3yr_avg,Three-year average operating result,direct_numeric,3,,-0.03,0.0,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 7 Financial performance: Initial assessment,high,"Scores 5 and 6 are reached through qualitative adjustments, not initial numeric thresholds."
sp_local_gov_k12,Individual Credit Profile Assessment,Financial Performance,gov_operating_margin_3yr_avg,Three-year average operating result,direct_numeric,4,,,-0.03,,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 7 Financial performance: Initial assessment,high,"Scores 5 and 6 are reached through qualitative adjustments, not initial numeric thresholds."
sp_local_gov_k12,Individual Credit Profile Assessment,Reserves and Liquidity,available_fund_balance_ratio_3yr_avg,Available reserves % of revenues,direct_numeric,1,,0.15,,False,,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 9 Reserves and liquidity: Initial assessment for local governments,high,Score 6 is reached through qualitative adjustments.
sp_local_gov_k12,Individual Credit Profile Assessment,Reserves and Liquidity,available_fund_balance_ratio_3yr_avg,Available reserves % of revenues,direct_numeric,2,,0.08,0.15,True,True,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 9 Reserves and liquidity: Initial assessment for local governments,high,Score 6 is reached through qualitative adjustments.
sp_local_gov_k12,Individual Credit Profile Assessment,Reserves and Liquidity,available_fund_balance_ratio_3yr_avg,Available reserves % of revenues,direct_numeric,3,,0.04,0.08,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 9 Reserves and liquidity: Initial assessment for local governments,high,Score 6 is reached through qualitative adjustments.
sp_local_gov_k12,Individual Credit Profile Assessment,Reserves and Liquidity,available_fund_balance_ratio_3yr_avg,Available reserves % of revenues,direct_numeric,4,,0.01,0.04,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 9 Reserves and liquidity: Initial assessment for local governments,high,Score 6 is reached through qualitative adjustments.
sp_local_gov_k12,Individual Credit Profile Assessment,Reserves and Liquidity,available_fund_balance_ratio_3yr_avg,Available reserves % of revenues,direct_numeric,5,,,0.01,,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 9 Reserves and liquidity: Initial assessment for local governments,high,Score 6 is reached through qualitative adjustments.
sp_local_gov_k12,Individual Credit Profile Assessment,Debt & Liabilities,fixed_cost_burden_ratio,Current cost for debt service and liabilities % of revenues,direct_numeric,1,,,0.08,,False,lower_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Debt & Liabilities,fixed_cost_burden_ratio,Current cost for debt service and liabilities % of revenues,direct_numeric,2,,0.08,0.14,True,False,lower_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Debt & Liabilities,fixed_cost_burden_ratio,Current cost for debt service and liabilities % of revenues,direct_numeric,3,,0.14,0.2,True,False,lower_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Debt & Liabilities,fixed_cost_burden_ratio,Current cost for debt service and liabilities % of revenues,direct_numeric,4,,0.2,0.25,True,False,lower_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Debt & Liabilities,fixed_cost_burden_ratio,Current cost for debt service and liabilities % of revenues,direct_numeric,5,,0.25,0.3,True,False,lower_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Debt & Liabilities,fixed_cost_burden_ratio,Current cost for debt service and liabilities % of revenues,direct_numeric,6,,0.3,,False,,lower_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Debt & Liabilities,net_direct_debt_per_capita,Net direct debt per capita,direct_numeric,1,,,500,,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Debt & Liabilities,net_direct_debt_per_capita,Net direct debt per capita,direct_numeric,2,,500,1500,True,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Debt & Liabilities,net_direct_debt_per_capita,Net direct debt per capita,direct_numeric,3,,1500,2500,True,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Debt & Liabilities,net_direct_debt_per_capita,Net direct debt per capita,direct_numeric,4,,2500,3500,True,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Debt & Liabilities,net_direct_debt_per_capita,Net direct debt per capita,direct_numeric,5,,3500,4500,True,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Debt & Liabilities,net_direct_debt_per_capita,Net direct debt per capita,direct_numeric,6,,4500,,False,,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Debt & Liabilities,npl_per_capita,Net pension liabilities per capita,direct_numeric,1,,,500,,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Debt & Liabilities,npl_per_capita,Net pension liabilities per capita,direct_numeric,2,,500,1500,True,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Debt & Liabilities,npl_per_capita,Net pension liabilities per capita,direct_numeric,3,,1500,2500,True,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Debt & Liabilities,npl_per_capita,Net pension liabilities per capita,direct_numeric,4,,2500,3500,True,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Debt & Liabilities,npl_per_capita,Net pension liabilities per capita,direct_numeric,5,,3500,4500,True,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Debt & Liabilities,npl_per_capita,Net pension liabilities per capita,direct_numeric,6,,4500,,False,,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Management,management_assessment,Management Assessment,manual_score,1,1 to 6 analyst assessment,,,,,,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Management factor is primarily qualitative,high,"Manual input. Score 1 strongest, 6 weakest."
sp_local_gov_k12,Institutional Framework,Institutional Framework,institutional_framework_rating,Institutional Framework Assessment,manual_score,1,1 to 6 analyst assessment,,,,,,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Institutional Framework section,high,"Manual/lookup input by state/government type; used later by anchor engine, not ICP factor engine."
sp_local_gov,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,1,,1.1,,False,,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,2,,0.95,1.1,True,True,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,3,,0.85,0.95,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,4,,0.75,0.85,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,5,,0.65,0.75,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,6,,,0.65,,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Economy,personal_income_ratio,County nominal PCPI as % of U.S. nominal PCPI,direct_numeric,1,,1.0,,False,,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Economy,personal_income_ratio,County nominal PCPI as % of U.S. nominal PCPI,direct_numeric,2,,0.9,1.0,True,True,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Economy,personal_income_ratio,County nominal PCPI as % of U.S. nominal PCPI,direct_numeric,3,,0.8,0.9,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Economy,personal_income_ratio,County nominal PCPI as % of U.S. nominal PCPI,direct_numeric,4,,0.75,0.8,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Economy,personal_income_ratio,County nominal PCPI as % of U.S. nominal PCPI,direct_numeric,5,,0.7,0.75,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Economy,personal_income_ratio,County nominal PCPI as % of U.S. nominal PCPI,direct_numeric,6,,,0.7,,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Financial Performance,gov_operating_margin_3yr_avg,Three-year average operating result,direct_numeric,1,,0.03,,False,,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 7 Financial performance: Initial assessment,high,"Scores 5 and 6 are reached through qualitative adjustments, not initial numeric thresholds."
sp_local_gov,Individual Credit Profile Assessment,Financial Performance,gov_operating_margin_3yr_avg,Three-year average operating result,direct_numeric,2,,0.0,0.03,True,True,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 7 Financial performance: Initial assessment,high,"Scores 5 and 6 are reached through qualitative adjustments, not initial numeric thresholds."
sp_local_gov,Individual Credit Profile Assessment,Financial Performance,gov_operating_margin_3yr_avg,Three-year average operating result,direct_numeric,3,,-0.03,0.0,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 7 Financial performance: Initial assessment,high,"Scores 5 and 6 are reached through qualitative adjustments, not initial numeric thresholds."
sp_local_gov,Individual Credit Profile Assessment,Financial Performance,gov_operating_margin_3yr_avg,Three-year average operating result,direct_numeric,4,,,-0.03,,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 7 Financial performance: Initial assessment,high,"Scores 5 and 6 are reached through qualitative adjustments, not initial numeric thresholds."
sp_local_gov,Individual Credit Profile Assessment,Reserves and Liquidity,available_fund_balance_ratio_3yr_avg,Available reserves % of revenues,direct_numeric,1,,0.15,,False,,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 9 Reserves and liquidity: Initial assessment for local governments,high,Score 6 is reached through qualitative adjustments.
sp_local_gov,Individual Credit Profile Assessment,Reserves and Liquidity,available_fund_balance_ratio_3yr_avg,Available reserves % of revenues,direct_numeric,2,,0.08,0.15,True,True,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 9 Reserves and liquidity: Initial assessment for local governments,high,Score 6 is reached through qualitative adjustments.
sp_local_gov,Individual Credit Profile Assessment,Reserves and Liquidity,available_fund_balance_ratio_3yr_avg,Available reserves % of revenues,direct_numeric,3,,0.04,0.08,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 9 Reserves and liquidity: Initial assessment for local governments,high,Score 6 is reached through qualitative adjustments.
sp_local_gov,Individual Credit Profile Assessment,Reserves and Liquidity,available_fund_balance_ratio_3yr_avg,Available reserves % of revenues,direct_numeric,4,,0.01,0.04,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 9 Reserves and liquidity: Initial assessment for local governments,high,Score 6 is reached through qualitative adjustments.
sp_local_gov,Individual Credit Profile Assessment,Reserves and Liquidity,available_fund_balance_ratio_3yr_avg,Available reserves % of revenues,direct_numeric,5,,,0.01,,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 9 Reserves and liquidity: Initial assessment for local governments,high,Score 6 is reached through qualitative adjustments.
sp_local_gov,Individual Credit Profile Assessment,Debt & Liabilities,fixed_cost_burden_ratio,Current cost for debt service and liabilities % of revenues,direct_numeric,1,,,0.08,,False,lower_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Debt & Liabilities,fixed_cost_burden_ratio,Current cost for debt service and liabilities % of revenues,direct_numeric,2,,0.08,0.14,True,False,lower_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Debt & Liabilities,fixed_cost_burden_ratio,Current cost for debt service and liabilities % of revenues,direct_numeric,3,,0.14,0.2,True,False,lower_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Debt & Liabilities,fixed_cost_burden_ratio,Current cost for debt service and liabilities % of revenues,direct_numeric,4,,0.2,0.25,True,False,lower_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Debt & Liabilities,fixed_cost_burden_ratio,Current cost for debt service and liabilities % of revenues,direct_numeric,5,,0.25,0.3,True,False,lower_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Debt & Liabilities,fixed_cost_burden_ratio,Current cost for debt service and liabilities % of revenues,direct_numeric,6,,0.3,,False,,lower_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Debt & Liabilities,net_direct_debt_per_capita,Net direct debt per capita,direct_numeric,1,,,500,,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Debt & Liabilities,net_direct_debt_per_capita,Net direct debt per capita,direct_numeric,2,,500,1500,True,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Debt & Liabilities,net_direct_debt_per_capita,Net direct debt per capita,direct_numeric,3,,1500,2500,True,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Debt & Liabilities,net_direct_debt_per_capita,Net direct debt per capita,direct_numeric,4,,2500,3500,True,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Debt & Liabilities,net_direct_debt_per_capita,Net direct debt per capita,direct_numeric,5,,3500,4500,True,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Debt & Liabilities,net_direct_debt_per_capita,Net direct debt per capita,direct_numeric,6,,4500,,False,,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Debt & Liabilities,npl_per_capita,Net pension liabilities per capita,direct_numeric,1,,,500,,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Debt & Liabilities,npl_per_capita,Net pension liabilities per capita,direct_numeric,2,,500,1500,True,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Debt & Liabilities,npl_per_capita,Net pension liabilities per capita,direct_numeric,3,,1500,2500,True,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Debt & Liabilities,npl_per_capita,Net pension liabilities per capita,direct_numeric,4,,2500,3500,True,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Debt & Liabilities,npl_per_capita,Net pension liabilities per capita,direct_numeric,5,,3500,4500,True,False,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Debt & Liabilities,npl_per_capita,Net pension liabilities per capita,direct_numeric,6,,4500,,False,,lower_is_stronger,absolute,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 13 Debt and liabilities: Initial assessment,high,
sp_local_gov,Individual Credit Profile Assessment,Management,management_assessment,Management Assessment,manual_score,1,1 to 6 analyst assessment,,,,,,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Management factor is primarily qualitative,high,"Manual input. Score 1 strongest, 6 weakest."
sp_local_gov,Institutional Framework,Institutional Framework,institutional_framework_rating,Institutional Framework Assessment,manual_score,1,1 to 6 analyst assessment,,,,,,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Institutional Framework section,high,"Manual/lookup input by state/government type; used later by anchor engine, not ICP factor engine."
sp_us_government_2024,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,1,,1.1,,False,,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_us_government_2024,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,2,,0.95,1.1,True,True,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
